Experiment,IAF,Index,Value
inf,Background,0,10.0
inf,Background,1,2.9
inf,Background,2,0.0508
inf,Background,3,7.1
inf,Background,4,1.9
inf,Background,5,6.0
inf,Background,6,0.175
inf,Background,7,0.081
inf,Background,8,4.44
inf,Background,9,1.85
inf,Background,10,8.8
inf,Background,11,0.01
inf,Background,12,0.28
inf,Background,13,6.9
inf,Background,14,0.325
inf,Background,15,0.6
inf,Background,16,0.1705
inf,Background,17,1.5
inf,Background,18,0.0808
inf,Background,19,3.7
inf,Background,20,4.55
inf,Background,21,6.3
inf,Background,22,0.34
inf,Background,23,0.0101
inf,Background,24,1.26
inf,Background,25,3.2
inf,Background,26,6.06
inf,Background,27,0.7
inf,Background,28,0.12
inf,Background,29,5.0
inf,Background,30,0.0913
inf,Background,31,7.9
inf,Background,32,5.365
inf,Background,33,0.066
inf,Background,34,0.8
inf,Background,35,0.0309
inf,Background,36,9.0
inf,Background,37,4.1
inf,Background,38,0.01
inf,Background,39,4.0
inf,Background,40,4.9350000000000005
inf,Background,41,0.06345
inf,Background,42,8.620000000000001
inf,Background,43,2.7
inf,Background,44,14.3
inf,Background,45,0.022000000000000002
inf,Background,46,5.05
inf,Background,47,6.7
inf,Background,48,2.3
inf,Background,49,5.7
inf,Background,50,0.45
inf,Background,51,6.5
inf,Background,52,1.5
inf,Background,53,8.0
inf,Background,54,1.4
inf,Background,55,6.075
inf,Background,56,0.968
inf,Background,57,0.3
inf,Background,58,0.2
inf,Background,59,3.2
inf,Background,60,0.0571
inf,Background,61,3.0
inf,Background,62,18.0
inf,Background,63,13.0
inf,Background,64,0.4
inf,Background,65,13.0
inf,Background,66,6.0
inf,Background,67,0.282
inf,Background,68,3.0
inf,Background,69,1.3215
inf,Background,70,0.13
inf,Background,71,0.05
inf,Background,72,4.6
inf,Background,73,1.87
inf,Background,74,0.042
inf,Background,75,1.8
inf,Background,76,1.2
inf,Background,77,4.855
inf,Background,78,0.134
inf,Background,79,0.07200000000000001
inf,Background,80,5.949999999999999
inf,Background,81,1.83
inf,Background,82,1.1
inf,Background,83,0.33
inf,Background,84,0.38
inf,Background,85,0.0421
inf,Background,86,0.1195
inf,Background,87,1.8
inf,Background,88,0.14400000000000002
inf,Background,89,2.0
inf,Background,90,0.08199999999999999
inf,Background,91,6.0
inf,Background,92,0.32
inf,Background,93,1.0
inf,Background,94,2.2
inf,Background,95,15.0
inf,Background,96,1.2
inf,Background,97,0.016
inf,Background,98,7.2
inf,Background,99,0.7
