Experiment,IAF,Index,Value
1,MEI,24,1.26
2,MEI,39,4.0
3,MEI,8,4.44
4,MEI,42,8.620000000000001
5,MEI,59,3.2
6,MEI,81,1.83
7,MEI,19,3.7
8,MEI,5,6.0
9,MEI,65,13.0
10,MEI,10,8.8
11,MEI,31,7.9
12,MEI,0,10.0
13,MEI,36,9.0
14,MEI,62,18.0
15,MEI,29,5.0
16,MEI,95,15.0
17,MEI,63,13.0
18,MEI,44,14.3
19,MEI,3,7.1
20,MEI,80,5.949999999999998
21,MEI,37,4.1
22,MEI,49,5.7
23,MEI,92,0.32
24,MEI,47,6.7
25,MEI,61,3.0
26,MEI,13,6.9
27,MEI,72,4.6
28,MEI,21,6.3
29,MEI,33,0.066
30,MEI,98,7.2
31,MEI,26,6.06
32,MEI,68,3.0
33,MEI,20,4.55
34,MEI,91,6.0
35,MEI,73,1.87
36,MEI,53,8.0
37,MEI,12,0.28
38,MEI,51,6.5
39,MEI,32,5.365
40,MEI,55,6.075
41,MEI,40,4.9350000000000005
42,MEI,77,4.855
43,MEI,87,1.8
44,MEI,38,0.01
45,MEI,34,0.8
46,MEI,54,1.4
47,MEI,71,0.05
48,MEI,22,0.34
49,MEI,52,1.5
50,MEI,9,1.85
51,MEI,69,1.3215
52,MEI,75,1.8
53,MEI,25,3.2
54,MEI,1,2.9
55,MEI,94,2.2
56,MEI,17,1.5
57,MEI,6,0.175
58,MEI,76,1.2
59,MEI,82,1.1
60,MEI,27,0.7
61,MEI,67,0.282
62,MEI,99,0.7
63,MEI,48,2.3
64,MEI,16,0.1705
65,MEI,11,0.01
66,MEI,97,0.016
67,MEI,96,1.2
68,MEI,83,0.33
69,MEI,15,0.6
70,MEI,45,0.022
71,MEI,89,2.0
72,MEI,28,0.12
73,MEI,93,1.0
74,MEI,79,0.07200000000000001
75,MEI,50,0.45
76,MEI,56,0.968
77,MEI,57,0.3
78,MEI,41,0.06345
79,MEI,58,0.2
80,MEI,78,0.134
81,MEI,90,0.08199999999999999
82,MEI,64,0.4
83,MEI,85,0.0421
84,MEI,60,0.0571
85,MEI,88,0.14400000000000002
86,MEI,70,0.13
87,MEI,74,0.042
88,MEI,14,0.325
89,MEI,2,0.0508
90,MEI,23,0.0101
