Experiment,IAF,Index,Value
1,MLI,81,1.83
2,MLI,8,4.44
3,MLI,19,3.7
4,MLI,5,6.0
5,MLI,72,4.6
6,MLI,39,4.0
7,MLI,42,8.620000000000001
8,MLI,59,3.2
9,MLI,61,3.0
10,MLI,26,6.06
11,MLI,77,4.855
12,MLI,22,0.34
13,MLI,63,13.0
14,MLI,95,15.0
15,MLI,3,7.1
16,MLI,33,0.066
17,MLI,44,14.3
18,MLI,80,5.949999999999998
19,MLI,36,9.0
20,MLI,65,13.0
21,MLI,37,4.1
22,MLI,0,10.0
23,MLI,10,8.8
24,MLI,29,5.0
25,MLI,62,18.0
26,MLI,31,7.9
27,MLI,89,2.0
28,MLI,90,0.08199999999999999
29,MLI,50,0.45
30,MLI,6,0.175
31,MLI,98,7.2
32,MLI,11,0.01
33,MLI,49,5.7
34,MLI,47,6.7
35,MLI,91,6.0
36,MLI,34,0.8
37,MLI,71,0.05
38,MLI,55,6.075
39,MLI,73,1.87
40,MLI,24,1.26
41,MLI,51,6.5
42,MLI,56,0.968
43,MLI,87,1.8
44,MLI,40,4.9350000000000005
45,MLI,92,0.32
46,MLI,52,1.5
47,MLI,1,2.9
48,MLI,69,1.3215
49,MLI,48,2.3
50,MLI,82,1.1
51,MLI,38,0.01
52,MLI,94,2.2
53,MLI,16,0.1705
54,MLI,25,3.2
55,MLI,32,5.365
56,MLI,12,0.28
57,MLI,53,8.0
58,MLI,68,3.0
59,MLI,67,0.282
60,MLI,83,0.33
61,MLI,21,6.3
62,MLI,45,0.022
63,MLI,9,1.85
64,MLI,20,4.55
65,MLI,79,0.07200000000000001
66,MLI,41,0.06345
67,MLI,13,6.9
68,MLI,76,1.2
69,MLI,28,0.12
70,MLI,54,1.4
71,MLI,93,1.0
72,MLI,75,1.8
73,MLI,17,1.5
74,MLI,96,1.2
75,MLI,23,0.0101
76,MLI,99,0.7
77,MLI,70,0.13
78,MLI,58,0.2
79,MLI,78,0.134
80,MLI,88,0.14400000000000002
81,MLI,97,0.016
82,MLI,27,0.7
83,MLI,15,0.6
84,MLI,60,0.0571
85,MLI,14,0.325
86,MLI,57,0.3
87,MLI,64,0.4
88,MLI,74,0.042
89,MLI,85,0.0421
90,MLI,2,0.0508
