Experiment,IAF,Index,Value
1,MU,20,4.55
2,MU,22,0.34
3,MU,69,1.3215
4,MU,67,0.282
5,MU,59,3.2
6,MU,81,1.83
7,MU,16,0.1705
8,MU,37,4.1
9,MU,95,15.0
10,MU,63,13.0
11,MU,33,0.066
12,MU,83,0.33
13,MU,28,0.12
14,MU,31,7.9
15,MU,49,5.7
16,MU,29,5.0
17,MU,76,1.2
18,MU,80,5.949999999999998
19,MU,34,0.8
20,MU,98,7.2
21,MU,44,14.3
22,MU,36,9.0
23,MU,6,0.175
24,MU,65,13.0
25,MU,73,1.87
26,MU,62,18.0
27,MU,0,10.0
28,MU,61,3.0
29,MU,47,6.7
30,MU,90,0.08199999999999999
31,MU,3,7.1
32,MU,10,8.8
33,MU,26,6.06
34,MU,32,5.365
35,MU,56,0.968
36,MU,19,3.7
37,MU,40,4.9350000000000005
38,MU,51,6.5
39,MU,91,6.0
40,MU,93,1.0
41,MU,25,3.2
42,MU,77,4.855
43,MU,79,0.07200000000000001
44,MU,96,1.2
45,MU,89,2.0
46,MU,52,1.5
47,MU,24,1.26
48,MU,82,1.1
49,MU,11,0.01
50,MU,94,2.2
51,MU,45,0.022
52,MU,38,0.01
53,MU,53,8.0
54,MU,21,6.3
55,MU,12,0.28
56,MU,1,2.9
57,MU,68,3.0
58,MU,92,0.32
59,MU,75,1.8
60,MU,97,0.016
61,MU,99,0.7
62,MU,41,0.06345
63,MU,13,6.9
64,MU,71,0.05
65,MU,54,1.4
66,MU,87,1.8
67,MU,55,6.075
68,MU,42,8.620000000000001
69,MU,23,0.0101
70,MU,8,4.44
71,MU,9,1.85
72,MU,48,2.3
73,MU,88,0.14400000000000002
74,MU,39,4.0
75,MU,5,6.0
76,MU,17,1.5
77,MU,70,0.13
78,MU,58,0.2
79,MU,78,0.134
80,MU,60,0.0571
81,MU,50,0.45
82,MU,72,4.6
83,MU,27,0.7
84,MU,64,0.4
85,MU,74,0.042
86,MU,15,0.6
87,MU,85,0.0421
88,MU,57,0.3
89,MU,14,0.325
90,MU,2,0.0508
