Experiment,IAF,Index,Value
1,Random,49,5.7
2,Random,59,3.2
3,Random,17,1.5
4,Random,0,10.0
5,Random,24,1.26
6,Random,88,0.14400000000000002
7,Random,60,0.0571
8,Random,6,0.175
9,Random,97,0.016
10,Random,13,6.9
11,Random,91,6.0
12,Random,12,0.28
13,Random,68,3.0
14,Random,14,0.325
15,Random,42,8.620000000000001
16,Random,33,0.066
17,Random,89,2.0
18,Random,53,8.0
19,Random,3,7.1
20,Random,76,1.2
21,Random,31,7.9
22,Random,92,0.32
23,Random,96,1.2
24,Random,55,6.075
25,Random,63,13.0
26,Random,29,5.0
27,Random,40,4.9350000000000005
28,Random,83,0.33
29,Random,37,4.1
30,Random,45,0.022000000000000002
31,Random,39,4.0
32,Random,80,5.949999999999999
33,Random,61,3.0
34,Random,82,1.1
35,Random,95,15.0
36,Random,23,0.0101
37,Random,56,0.968
38,Random,73,1.87
39,Random,51,6.5
40,Random,21,6.3
41,Random,1,2.9
42,Random,9,1.85
43,Random,2,0.0508
44,Random,47,6.7
45,Random,34,0.8
46,Random,44,14.3
47,Random,19,3.7
48,Random,77,4.855
49,Random,8,4.44
50,Random,38,0.01
51,Random,79,0.07200000000000001
52,Random,71,0.05
53,Random,41,0.06345
54,Random,26,6.06
55,Random,87,1.8
56,Random,67,0.282
57,Random,48,2.3
58,Random,72,4.6
59,Random,62,18.0
60,Random,70,0.13
61,Random,81,1.83
62,Random,16,0.1705
63,Random,90,0.08199999999999999
64,Random,22,0.34
65,Random,50,0.45
66,Random,57,0.3
67,Random,27,0.7
68,Random,15,0.6
69,Random,5,6.0
70,Random,28,0.12
71,Random,98,7.2
72,Random,65,13.0
73,Random,93,1.0
74,Random,52,1.5
75,Random,99,0.7
76,Random,10,8.8
77,Random,94,2.2
78,Random,85,0.0421
79,Random,36,9.0
80,Random,11,0.01
81,Random,58,0.2
82,Random,75,1.8
83,Random,25,3.2
84,Random,54,1.4
85,Random,64,0.4
86,Random,74,0.042
87,Random,32,5.365
88,Random,69,1.3215
89,Random,78,0.134
90,Random,20,4.55
