Experiment,IAF,Index,Value
1,UCB,24,1.26
2,UCB,39,4.0
3,UCB,42,8.620000000000001
4,UCB,59,3.2
5,UCB,8,4.44
6,UCB,81,1.83
7,UCB,19,3.7
8,UCB,44,14.3
9,UCB,95,15.0
10,UCB,3,7.1
11,UCB,63,13.0
12,UCB,80,5.949999999999998
13,UCB,10,8.8
14,UCB,65,13.0
15,UCB,36,9.0
16,UCB,62,18.0
17,UCB,29,5.0
18,UCB,0,10.0
19,UCB,49,5.7
20,UCB,37,4.1
21,UCB,33,0.066
22,UCB,31,7.9
23,UCB,6,0.175
24,UCB,47,6.7
25,UCB,98,7.2
26,UCB,61,3.0
27,UCB,92,0.32
28,UCB,12,0.28
29,UCB,89,2.0
30,UCB,21,6.3
31,UCB,72,4.6
32,UCB,13,6.9
33,UCB,38,0.01
34,UCB,5,6.0
35,UCB,87,1.8
36,UCB,16,0.1705
37,UCB,20,4.55
38,UCB,73,1.87
39,UCB,82,1.1
40,UCB,28,0.12
41,UCB,22,0.34
42,UCB,26,6.06
43,UCB,77,4.855
44,UCB,68,3.0
45,UCB,45,0.022
46,UCB,53,8.0
47,UCB,40,4.9350000000000005
48,UCB,51,6.5
49,UCB,32,5.365
50,UCB,55,6.075
51,UCB,91,6.0
52,UCB,69,1.3215
53,UCB,56,0.968
54,UCB,34,0.8
55,UCB,67,0.282
56,UCB,52,1.5
57,UCB,79,0.07200000000000001
58,UCB,75,1.8
59,UCB,54,1.4
60,UCB,25,3.2
61,UCB,1,2.9
62,UCB,17,1.5
63,UCB,9,1.85
64,UCB,99,0.7
65,UCB,48,2.3
66,UCB,83,0.33
67,UCB,11,0.01
68,UCB,58,0.2
69,UCB,93,1.0
70,UCB,41,0.06345
71,UCB,94,2.2
72,UCB,50,0.45
73,UCB,97,0.016
74,UCB,96,1.2
75,UCB,71,0.05
76,UCB,78,0.134
77,UCB,76,1.2
78,UCB,90,0.08199999999999999
79,UCB,15,0.6
80,UCB,27,0.7
81,UCB,85,0.0421
82,UCB,57,0.3
83,UCB,60,0.0571
84,UCB,64,0.4
85,UCB,70,0.13
86,UCB,74,0.042
87,UCB,23,0.0101
88,UCB,2,0.0508
89,UCB,88,0.14400000000000002
90,UCB,14,0.325
